=== Enumerating S with e_3 = 0 (identity in Z[ζ_36]), n=36 ===

  6-element S with 0∈S and e_3=0: 136 aligned + 1416 non-aligned = 1552 total

--- Non-aligned S with e_3=0 ---
                                       S        N(e1)        N(e4)      gcd               primes
----------------------------------------------------------------------------------------------------
                   (0, 2, 5, 16, 23, 24)            1         1369        1                   []
                   (0, 2, 5, 17, 29, 31)          181          181      181                [181]
                   (0, 2, 5, 18, 31, 34)            1         1369        1                   []
                    (0, 2, 6, 9, 18, 27)            1            1        1                   []
                   (0, 2, 6, 10, 12, 24)           81           81       81                   []
                   (0, 2, 6, 11, 20, 29)          729            1        1                   []
                   (0, 2, 6, 14, 18, 26)            1            1        1                   []
                   (0, 2, 6, 15, 24, 33)            9            1        1                   []
                   (0, 2, 6, 16, 24, 26)           81            9        9                   []
                   (0, 2, 6, 18, 30, 34)            1            1        1                   []
                    (0, 2, 7, 9, 12, 24)          181          181      181                [181]
                    (0, 2, 7, 9, 18, 27)            1            1        1                   []
                    (0, 2, 7, 9, 21, 33)          181          181      181                [181]
                   (0, 2, 7, 11, 20, 29)            1            1        1                   []
                   (0, 2, 7, 12, 14, 25)            9            1        1                   []
                   (0, 2, 7, 14, 17, 26)          181          181      181                [181]
                   (0, 2, 7, 14, 23, 33)         5329          109        1                   []
                   (0, 2, 7, 16, 25, 34)            9            1        1                   []
                   (0, 2, 7, 18, 29, 34)           64            1        1                   []
                   (0, 2, 7, 19, 33, 34)         5329          109        1                   []
                    (0, 2, 8, 9, 18, 27)          729            1        1                   []
                   (0, 2, 8, 11, 20, 29)            1            1        1                   []
                   (0, 2, 8, 14, 16, 26)           81           81       81                   []
                   (0, 2, 8, 17, 26, 35)            9            1        1                   []
                   (0, 2, 8, 18, 28, 34)         6561           81       81                   []
                   (0, 2, 9, 10, 18, 27)            1            1        1                   []
                   (0, 2, 9, 11, 18, 27)           64            1        1                   []
                   (0, 2, 9, 11, 20, 29)           64            1        1                   []
                   (0, 2, 9, 12, 18, 27)            9            1        1                   []
                   (0, 2, 9, 13, 18, 27)            1            1        1                   []
                   (0, 2, 9, 14, 15, 26)         2197         2197     2197                   []
                   (0, 2, 9, 14, 18, 27)            1            1        1                   []
                   (0, 2, 9, 15, 18, 27)            1            1        1                   []
                   (0, 2, 9, 16, 18, 27)            9            1        1                   []
                   (0, 2, 9, 17, 18, 27)            1            1        1                   []
                   (0, 2, 9, 18, 19, 27)            1            1        1                   []
                   (0, 2, 9, 18, 21, 27)            1            1        1                   []
                   (0, 2, 9, 18, 22, 27)            1            1        1                   []
                   (0, 2, 9, 18, 23, 27)            1            1        1                   []
                   (0, 2, 9, 18, 24, 27)            9            1        1                   []
                   (0, 2, 9, 18, 25, 27)            1            1        1                   []
                   (0, 2, 9, 18, 26, 27)            1            1        1                   []
                   (0, 2, 9, 18, 27, 28)            9            1        1                   []
                   (0, 2, 9, 18, 27, 29)           64            1        1                   []
                   (0, 2, 9, 18, 27, 30)            1            1        1                   []
                   (0, 2, 9, 18, 27, 31)            1            1        1                   []
                   (0, 2, 9, 18, 27, 32)          729            1        1                   []
                   (0, 2, 9, 18, 27, 33)            1            1        1                   []
                   (0, 2, 9, 18, 27, 34)            1            1        1                   []
                   (0, 2, 9, 18, 27, 35)            1            1        1                   []
                  (0, 2, 10, 11, 20, 29)            9            1        1                   []
                  (0, 2, 10, 16, 24, 34)           81            9        9                   []
                  (0, 2, 10, 18, 26, 34)            1            1        1                   []
                  (0, 2, 10, 20, 24, 26)           81            9        9                   []
                  (0, 2, 10, 20, 32, 34)           81            9        9                   []
                  (0, 2, 11, 12, 20, 29)            1            1        1                   []
                  (0, 2, 11, 13, 14, 26)          181          181      181                [181]
                  (0, 2, 11, 13, 20, 29)            1            1        1                   []
                  (0, 2, 11, 13, 23, 35)          181          181      181                [181]
                  (0, 2, 11, 14, 20, 29)            9            1        1                   []
                  (0, 2, 11, 15, 20, 29)            1            1        1                   []
                  (0, 2, 11, 16, 20, 29)            1            1        1                   []
                  (0, 2, 11, 17, 20, 29)            1            1        1                   []
                  (0, 2, 11, 18, 25, 34)           64            1        1                   []
